descrizione;likes;retweets;data
Pressing #Cts al #governo: 'Stretta misure in vista del weekend. Nuova fase, superare l'attuale Dpcm, tra le ipotesi coprifuoco e Dad'.  #Covid #ANSA   https://t.co/CqWMsPtL9L ;17;15;2020-10-15 10:09
#Coronavirus Manifestazione a #Napoli contro la chiusura  delle scuole - VIDEO Insegnanti, bus scolastici e genitori in presidio alla Regione #ANSA https://t.co/1mXe1wA7Cf;40;15;2020-10-15 10:21
#Ricciardi: 'Proposti stop mirati nelle regioni con Rt sopra 1. Scuole aperte chiusi esercizi commerciali non essenziali'#Covid #ANSA https://t.co/H6yj46kX1e;79;41;2020-10-15 11:04
#Covid, #Oms: 'La situazione in Europa è molto preoccupante' @WHO  #ANSA https://t.co/y7seMwxhtK ;29;16;2020-10-15 11:07
#Covid: Finlandia, paese Babbo Natale abbandonato da turisti Per restrizioni viaggi niente folla nella casa di Santa Claus #ANSA https://t.co/0yUC1IU09J;36;15;2020-10-15 11:30
"L'evoluzione della situazione #coronavirus in #Europa è ""molto preoccupante"". Lo ha detto il direttore dell'ufficio regionale dell'#Oms, Hans Kluge, nel corso di un briefing sul Covid-19. #ANSA #15ottobre #pandemia #coprifuoco https://t.co/CU2t6lOsBh";12;8;2020-10-15 11:59
Tribunale #Berlino dà ragione ai bar, niente stop alle 23 La norma anti-covid era entrata in vigore da una settimana #ANSA  https://t.co/qJgn1O5ibj;119;76;2020-10-15 12:01
"""L'Italia ha numeri molto diversi rispetto a quelli di altri Paesi europei"" ma ""non è fuori da questa dinamica di crescita dei contagi  ormai evidente e innegabile"". Lo ha detto il ministro della #Salute Roberto #Speranza. #ANSA #15ottobre @robersperanza https://t.co/EGQUKwKbRD";14;7;2020-10-15 12:03
Mattarella: 'Il virus dell'individualismo pericoloso come il covid' #ANSA https://t.co/TZXk8leRft ;107;14;2020-10-15 12:35
#Covid, Ottanta esperti bocciano l'immunità di gregge. 'E'  un errore pericoloso, non supportato da alcuna evidenza scientifica'. #ANSA #15ottobre #pandemia #coprifuoco https://t.co/fjfgfqaYkA;77;32;2020-10-15 12:48
VIDEO| Covid, blocco stradale ad Arzano contro il minilockdown #ANSA https://t.co/1UWReDTOiL ;21;6;2020-10-15 13:05
#Covid, tre comuni valdostani verso la 'zona rossa' #ANSA https://t.co/ZjOUk6boBx;26;14;2020-10-15 13:34
#Covid, #Bonaccini: 'In caso di impennate della curva epidemiologica bisogna essere pronti a #lockdown molto parziali, diversamente sarebbe una pandemia economica', dice il governatore dell'Emilia Romagna.  #ANSA  #15 ottobre  @sbonaccini  @RegioneER https://t.co/4wPRqDk4fK;74;16;2020-10-15 13:40
Covid - Nelle prossime ore il Presidente della Regione Valle d'Aosta, Renzo #Testolin, dichiarerà la 'zona rossa' in alcuni comuni della media valle. #ANSA #15ottobre #covid #lockdown #Vda #zonarossa https://t.co/SGZZLZqbGR;14;11;2020-10-15 13:44
PiazzaAffari amplia il calo, paura per l'epidemia #Covid #ANSA https://t.co/LOR37GYA4T;6;4;2020-10-15 13:59
#Covid: 2 positivi, 89 del #canottaggio in quarantena. Di ritorno da Europei Poznan. Abbagnale: 'Negativo ma sto a casa' #ANSA https://t.co/FYjoTp0gD9;17;9;2020-10-15 14:11
Al via il #Consiglioeuropeo. Sul tavolo #Brexit, #Recovery e #Covid.  Sull'intesa con #Londra il premier Giuseppe Conte ha auspicato un'intesa: occorre stringere i tempi #ANSA #Ue https://t.co/csJ5GvJNOA;6;9;2020-10-15 14:19
Covid, in Abruzzo boom di casi. Valdaosta, tre Comuni a rischio #ANSA https://t.co/mQiYRcxr9k;22;16;2020-10-15 14:28
#Ryanair chiude 3 basi e riduce voli invernali al 40% da novembre a marzo. Il taglio è dovuto alle restrizioni sui viaggi imposte per far fronte all'epidemia da #coronavirus #ANSA https://t.co/NOJPY07lln;19;14;2020-10-15 14:47
il #Censis analizza il rapporto tra gli italiani e il #Covid-19: impauriti ma pronti alla seconda #ondata. Promosso lo #smartworking. Per 8 su 10 si alla #mascherina ovunque #ANSA https://t.co/BAmUo4ATWp;38;19;2020-10-15 14:56
#Covid: Fipe, Dpcm pesa su bar e ristoranti 300 mln mese Stoppani, a rischio 50mila aziende su 300mila #ANSA https://t.co/3JjdLU1ekl;10;9;2020-10-15 15:14
#Covid: 39 milioni di contagi nel mondo, 2  milioni in una settimana. Quasi 1,1 milioni di morti, più 100mila rispetto a fine settembre #ANSA https://t.co/hgp5ZMTq7f;16;19;2020-10-15 15:27
Covid,  contagi a quota 10mila. I decessi sono 55, in calo rispetto agli 83 di ieri. I tamponi sono stati 150.377.  #ANSA https://t.co/sr5ciUVvZV;45;23;2020-10-15 15:32
#Coronavirus, in Lombardia 2.067 contagi. In Campania, 1.127. Seguono il Piemonte (1.033), il Veneto (600), il Lazio (594) e lla Toscana (581) #ANSA https://t.co/SMZum9WCeQ;19;15;2020-10-15 15:51
"RT @AnsaCalabria: &gt;ANSA-IL-PUNTO/COVID:scendono contagi in Calabria,da 60 a 39. Risultato positivo dipendente azienda ospedaliera Cosenza |…";0;9;2020-10-15 16:24
#Coronavirus, Londra impone la quarantena per gli arrivi dall'Italia. Lockdown parziale in Polonia #ANSA https://t.co/HZAI0JL2JE;26;24;2020-10-15 16:38
Coronavirus, a Milano l'indice Rt oltre quota 2. Nella città, gli ospedali Sacco e Fatebenefratelli accettano solo malati con Covid-19  #ANSA https://t.co/9A2rxHFmt0;49;34;2020-10-15 16:42
"RT @AnsaVeneto: &gt;ANSA-IL-PUNTO/COVID:Veneto, +600 contagi e 11 morti. Zaia su Immuni, nessun ostracismo, noi problemi come altri #ANSA http…";0;8;2020-10-15 17:12
"RT @AnsaPuglia: &gt;ANSA-IL-PUNTO/COVID: in Puglia contagi sopra media italiana. Sono il 16,9% contro il 10,7%. Oggi 257 positivi, 7 i morti #…";0;9;2020-10-15 17:12
#Coronavirus Valentino Rossi positivo, niente #GpAragon 'Soono triste e arrabbiato ma le cose stanno così e non posso fare nulla per cambiarle' #ANSA  https://t.co/OixBotj3JO;28;10;2020-10-15 17:25
Covid: in Valle d'Aosta disposta la chiusura di tre Comuni. Tamponi a tutta popolazione di Saint-Denis, Verrayes e Chambave #ANSA #COVID__19 https://t.co/EtyVteYcHF;29;17;2020-10-15 17:39
Federica Pellegrini e Valentino Rossi positivi al #Coronavirus. L'amarezza dei due campioni #ANSA https://t.co/vMoDfmx1Lo;62;17;2020-10-15 18:19
La pandemia spinge il consumo di video in streaming, +16% in un anno #ANSA https://t.co/FPKmShULVg;19;6;2020-10-15 18:30
"RT @Ansa_Fvg: &gt;ANSA-IL PUNTO/COVID: 182 nuovi contagi, è record in Fvg. Fedriga, no test a primo starnuto, evitare blocco scuola #ANSA http…";0;9;2020-10-15 18:34
#Coronavirus Secondo il monitoraggio settimanale ministero della Salute-Iss  l'epidemia è entrata in una fase acuta. Il virus oggi 'circola in tutto il Paese' e a livello nazionale l'indice di contagiosità Rt è di 1,17 #ANSA https://t.co/wwEAuRK4YP;64;45;2020-10-15 19:33
#Covid la paura del #lockdown affonda le #borse l'economia trema. Mercati	europei	negativi #Milano maglia	nera cede il 2 77% #ANSA #coronavirus https://t.co/Z0G8E7R5zA;27;11;2020-10-15 19:38
#Covid,  contagi a quota 10mila. Governo verso una nuova stretta. Conte: non un #lockdown, nuova strategia #ANSA https://t.co/sr5ciUVvZV;48;25;2020-10-15 19:43
#Covid: #Lombardia, bar e ristoranti chiusi alle 24 #ANSA https://t.co/tNKGcpuXS4;62;23;2020-10-15 20:59
#Covid: #Inter, Bastoni negativo ma out nel derby  #Calcio #ANSA https://t.co/qqa0AbuXxR;16;1;2020-10-15 21:24
#Coronavirus Epidemia in fase acuta. Il virus circola in tutt il Paese. Lo spiega il monitoraggio dell?iss sui dati del contagio #ANSA https://t.co/UJlK6OIY0f;43;22;2020-10-16 05:30
Valentino Rossi e Federica Pellegrini positivi al #Coronavirus. L'amarezza dei due campioni #ANSA https://t.co/PcvODuNZnm;17;11;2020-10-16 06:00
#Coronavirus, Londra impone la quarantena per chi arriva dall'Italia #ANSA https://t.co/2lJdwidEQS;22;17;2020-10-16 06:20
#Coronavirus immunità di gregge bocciata da 80 esperti: Non ferma il virus #ANSA  https://t.co/4tWpyiOY71;28;12;2020-10-16 06:50
#Covid , #Gelmini: 'Sono positiva, supereremo anche questa'. La capogruppo di Forza Italia alla camera lo scrive su Facebook:'Sto bene, al momento non ho alcun sintomo'. #ANSA https://t.co/RieJmTAXtU;24;7;2020-10-16 07:56
In sei a cena si scatena l'#ironia dei social. Da Biancaneve e i 7 nani a 7 all'irruzione delle forze speciali durante una festa così il popolo della rete risponde alle misure contenute nel #Dpcm, #Covid , #ANSA https://t.co/C6vZGf8snf;52;15;2020-10-16 08:09
